id	output
{"blockNumber":19727282,"chainId":1,"factoryAddress":"0xae4d5d5199265512b2a77ad675107735b891abc8"}	"0x90f584A7AfA70ECa0cf073082Ab0Ec95e5EfE38a"
{"blockNumber":19727282,"chainId":1,"factoryAddress":"0x0000000000000000000000000000000000000000"}	"0x0000000000000000000000000000000000000000"
{"blockNumber":204420224,"chainId":42161,"factoryAddress":"0x51100574e1cf11ee9fcc96d70ed146250b0fdb60"}	"0x3034780DE1eA0855AcaAD56259fd73532374Da22"
{"blockNumber":204420224,"chainId":42161,"factoryAddress":"0x0000000000000000000000000000000000000000"}	"0x0000000000000000000000000000000000000000"
{"blockNumber":267467675,"chainId":42161,"factoryAddress":"0x51100574e1cf11ee9fcc96d70ed146250b0fdb60"}	"0x3034780DE1eA0855AcaAD56259fd73532374Da22"
{"blockNumber":267514087,"chainId":42161,"factoryAddress":"0x51100574e1cf11ee9fcc96d70ed146250b0fdb60"}	"0x3034780DE1eA0855AcaAD56259fd73532374Da22"
{"blockNumber":20884154,"chainId":1,"factoryAddress":"0x54a1e56176139a963d7582fa9d0da3b0aefa16c0"}	"0x0000000000000000000000000000000000000000"
{"blockNumber":1856413,"chainId":146,"factoryAddress":"0xc9092777bf098e74b23b66c4140064eb3fccd0f1"}	"0xeC82Abd7698befd9dA441328FB4fD7959EF916A1"
{"blockNumber":1856413,"chainId":146,"factoryAddress":"0x0000000000000000000000000000000000000000"}	"0x0000000000000000000000000000000000000000"
{"blockNumber":62814825,"chainId":43114,"factoryAddress":"0x51100574e1cf11ee9fcc96d70ed146250b0fdb60"}	"0x7EA3097E2AF59eA705398544e0f58EdDb7bd1852"
{"blockNumber":62827583,"chainId":43114,"factoryAddress":"0x64fcc3a02eeeba05ef701b7eed066c6ebd5d4e51"}	"0x7E32f4C44E22aB20df287f8a15eB6C0F54dA6E30"
{"blockNumber":62814825,"chainId":43114,"factoryAddress":"0x0000000000000000000000000000000000000000"}	"0x0000000000000000000000000000000000000000"
{"blockNumber":62827583,"chainId":43114,"factoryAddress":"0x51100574e1cf11ee9fcc96d70ed146250b0fdb60"}	"0x7EA3097E2AF59eA705398544e0f58EdDb7bd1852"
{"blockNumber":122132241,"chainId":10,"factoryAddress":"0x9c594c2e2e2e5aa300be12596215188c324c3e7c"}	"0x0000000000000000000000000000000000000000"
{"blockNumber":50411278,"chainId":56,"factoryAddress":"0x51100574e1cf11ee9fcc96d70ed146250b0fdb60"}	"0x0000000000000000000000000000000000000000"
{"blockNumber":50421547,"chainId":56,"factoryAddress":"0x64fcc3a02eeeba05ef701b7eed066c6ebd5d4e51"}	"0x0000000000000000000000000000000000000000"
{"blockNumber":50411278,"chainId":56,"factoryAddress":"0x0000000000000000000000000000000000000000"}	"0x0000000000000000000000000000000000000000"
{"blockNumber":50421547,"chainId":56,"factoryAddress":"0x51100574e1cf11ee9fcc96d70ed146250b0fdb60"}	"0x7EA3097E2AF59eA705398544e0f58EdDb7bd1852"
{"blockNumber":122132241,"chainId":10,"factoryAddress":"0x0000000000000000000000000000000000000000"}	"0x0000000000000000000000000000000000000000"
{"blockNumber":16537661,"chainId":8453,"factoryAddress":"0x51100574e1cf11ee9fcc96d70ed146250b0fdb60"}	"0x04Ec86bf37DfD77397bCC2e386cB37f175b4E106"
{"blockNumber":16537661,"chainId":8453,"factoryAddress":"0x0000000000000000000000000000000000000000"}	"0x0000000000000000000000000000000000000000"
{"blockNumber":21528781,"chainId":8453,"factoryAddress":"0x51100574e1cf11ee9fcc96d70ed146250b0fdb60"}	"0x04Ec86bf37DfD77397bCC2e386cB37f175b4E106"
{"blockNumber":20892307,"chainId":1,"factoryAddress":"0x54a1e56176139a963d7582fa9d0da3b0aefa16c0"}	"0x0000000000000000000000000000000000000000"
{"blockNumber":20892307,"chainId":1,"factoryAddress":"0xae4d5d5199265512b2a77ad675107735b891abc8"}	"0x90f584A7AfA70ECa0cf073082Ab0Ec95e5EfE38a"
{"blockNumber":21041836,"chainId":1,"factoryAddress":"0xae4d5d5199265512b2a77ad675107735b891abc8"}	"0x90f584A7AfA70ECa0cf073082Ab0Ec95e5EfE38a"
{"blockNumber":330879247,"chainId":42161,"factoryAddress":"0x9055ebe4e01040c0c4a6d9bb84a13188981c62d4"}	"0x786A2C6217080346C18242AEFD12fc1Ee5f33f65"
{"blockNumber":22730259,"chainId":146,"factoryAddress":"0x100f22121d8c86367b14ba67968dca8001c9fa79"}	"0x2c869C812BF8519E4A8dc42dcd8793Ec09f776c1"
{"blockNumber":22363057,"chainId":1,"factoryAddress":"0xdbe5b6aac70eea77c5b59b6c54d8f21dffaa8d84"}	"0x9bF01A7C253a8C3A6A599a38Bf3946EC0B233778"
{"blockNumber":29499868,"chainId":8453,"factoryAddress":"0xdbe5b6aac70eea77c5b59b6c54d8f21dffaa8d84"}	"0x928D0c9443f49a0E33f877f4E1F19270691C2Ad2"
{"blockNumber":127125480,"chainId":10,"factoryAddress":"0x9c594c2e2e2e5aa300be12596215188c324c3e7c"}	"0x04Ec86bf37DfD77397bCC2e386cB37f175b4E106"
{"blockNumber":135095119,"chainId":10,"factoryAddress":"0x3945ce79f528906c232c6834d00c8f6a218b8bf5"}	"0xa3eeA13183421c9A8BDA0BDEe191B70De8CA445D"
