id	output
{"blockNumber":19919019,"chainId":1,"tokenAddress":"0x0000206329b97db379d5e1bf586bbdb969c63274"}	{"name": "USDA", "symbol": "USDA", "decimals": 18}
{"blockNumber":19928084,"chainId":1,"tokenAddress":"0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f"}	{"name": "Gho Token", "symbol": "GHO", "decimals": 18}
{"blockNumber":19961120,"chainId":1,"tokenAddress":"0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee"}	{"name": "Wrapped eETH", "symbol": "weETH", "decimals": 18}
{"blockNumber":19969673,"chainId":1,"tokenAddress":"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599"}	{"name": "Wrapped BTC", "symbol": "WBTC", "decimals": 8}
{"blockNumber":19919019,"chainId":1,"tokenAddress":"0x0022228a2cc5e7ef0274a7baa600d44da5ab5776"}	{"name": "Staked USDA", "symbol": "stUSD", "decimals": 18}
{"blockNumber":19928084,"chainId":1,"tokenAddress":"0xa94ec39c91df334dcab55adaa8edd9c1daf67ca7"}	{"name": "Spectra ERC4626 Wrapper: stk GHO", "symbol": "sw-stkGHO", "decimals": 18}
{"blockNumber":19961120,"chainId":1,"tokenAddress":"0x2dabcea55a12d73191aece59f508b191fb68adac"}	{"name": "Karak - Wrapped eETH", "symbol": "KweETH", "decimals": 18}
{"blockNumber":19969673,"chainId":1,"tokenAddress":"0xbde752ef69880c00a795d88438040b8f737eb254"}	{"name": "Spectra ERC4626 Wrapper: uniBTC", "symbol": "sw-uniBTC", "decimals": 8}
{"blockNumber":19919019,"chainId":1,"tokenAddress":"0x3d1fd4382bb3b1fe9dac005e77deb7a9bfb3aa14"}	{"name": "Principal Token: stUSD-1748217638", "symbol": "PT-stUSD-1748217638", "decimals": 18}
{"blockNumber":19928084,"chainId":1,"tokenAddress":"0xc7d669e7cc521a6676b20e209b3a49a1e64856f1"}	{"name": "Principal Token: sw-stkGHO-1732492824", "symbol": "PT-sw-stkGHO-1732492824", "decimals": 18}
