id	output
{"blockNumber":219291165,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":219321349,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":219338492,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":219338907,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":220509178,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":220974703,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":221687297,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":222159296,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":223519464,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":223791327,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":224107400,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":224108272,"chainId":42161,"tokenAddress":"0xC762480f20b40942829418141ceCee0E08172bdE"}	{"totalSupply": "0"}
{"blockNumber":225251208,"chainId":42161,"tokenAddress":"0x525893E4B2719543f1503ca38b8dC578b4E27A15"}	{"totalSupply": "11813360021798"}
{"blockNumber":225517662,"chainId":42161,"tokenAddress":"0xC5081E0787f61790aB1e235793e21025F7ce51Fd"}	{"totalSupply": "0"}
{"blockNumber":225611441,"chainId":42161,"tokenAddress":"0xDcA47De70E97394240699c33b59EE760b604D2AF"}	{"totalSupply": "284761412856550"}
{"blockNumber":226298305,"chainId":42161,"tokenAddress":"0x61887Bc84CD05fF2a3231Abc27Fc33B3dFD57D64"}	{"totalSupply": "0"}
{"blockNumber":226299657,"chainId":42161,"tokenAddress":"0x61887Bc84CD05fF2a3231Abc27Fc33B3dFD57D64"}	{"totalSupply": "0"}
{"blockNumber":226468832,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":227974444,"chainId":42161,"tokenAddress":"0x8eF8024AEA20d42E9e4274a463627c3093a7d081"}	{"totalSupply": "0"}
{"blockNumber":228315299,"chainId":42161,"tokenAddress":"0x9D9104890EB008B64A312a731f59c6A9A5A661ba"}	{"totalSupply": "8098451042912424"}
{"blockNumber":228804025,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":229172692,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":230985241,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":228663084,"chainId":42161,"tokenAddress":"0xee901F017B5D7C583619604d807e3590162bFb35"}	{"totalSupply": "6266728988206285404"}
{"blockNumber":230109546,"chainId":42161,"tokenAddress":"0x12505F9d5843a7236DBD71470a255c1D0fa33379"}	{"totalSupply": "226099173490493"}
{"blockNumber":230407923,"chainId":42161,"tokenAddress":"0x12505F9d5843a7236DBD71470a255c1D0fa33379"}	{"totalSupply": "226099173490493"}
{"blockNumber":230422219,"chainId":42161,"tokenAddress":"0x12505F9d5843a7236DBD71470a255c1D0fa33379"}	{"totalSupply": "226099173490493"}
{"blockNumber":232388705,"chainId":42161,"tokenAddress":"0x39b36489Ac72AC5379Bbfea2F9cA10634c4977cf"}	{"totalSupply": "917445836744801437743"}
{"blockNumber":235567023,"chainId":42161,"tokenAddress":"0x39b36489Ac72AC5379Bbfea2F9cA10634c4977cf"}	{"totalSupply": "917445836744801437743"}
{"blockNumber":242263161,"chainId":42161,"tokenAddress":"0x39b36489Ac72AC5379Bbfea2F9cA10634c4977cf"}	{"totalSupply": "917445836744801437743"}
{"blockNumber":232817847,"chainId":42161,"tokenAddress":"0x12505F9d5843a7236DBD71470a255c1D0fa33379"}	{"totalSupply": "226099173490493"}
{"blockNumber":232818598,"chainId":42161,"tokenAddress":"0x12505F9d5843a7236DBD71470a255c1D0fa33379"}	{"totalSupply": "226099173490493"}
{"blockNumber":232819093,"chainId":42161,"tokenAddress":"0x12505F9d5843a7236DBD71470a255c1D0fa33379"}	{"totalSupply": "226099173490493"}
{"blockNumber":240792306,"chainId":42161,"tokenAddress":"0x12505F9d5843a7236DBD71470a255c1D0fa33379"}	{"totalSupply": "226099173490493"}
{"blockNumber":232775308,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":246118842,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":246124477,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":234232771,"chainId":42161,"tokenAddress":"0x9f941faD732C4dc8Ee67443a363B4862555c007B"}	{"totalSupply": "3147563089669532284"}
{"blockNumber":247294799,"chainId":42161,"tokenAddress":"0xee901F017B5D7C583619604d807e3590162bFb35"}	{"totalSupply": "6266728988206285404"}
