id	output
{"blockNumber":19919019,"chainId":1,"vaultAddress":"0x0022228a2cc5E7eF0274A7Baa600d44da5aB5776"}	{"assetAddress": "0x0000206329b97DB379d5E1Bf586BbDB969C63274"}
{"blockNumber":19928084,"chainId":1,"vaultAddress":"0xa94ec39c91DF334DCAb55aDaA8EdD9C1dAF67cA7"}	{"assetAddress": "0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f"}
{"blockNumber":19961120,"chainId":1,"vaultAddress":"0x2DABcea55a12d73191AeCe59F508b191Fb68AdaC"}	{"assetAddress": "0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee"}
{"blockNumber":19969673,"chainId":1,"vaultAddress":"0xBDE752ef69880c00a795D88438040b8f737Eb254"}	{"assetAddress": "0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599"}
{"blockNumber":20031244,"chainId":1,"vaultAddress":"0x2fc1E74BC8A6D15fE768c10C2EDe7D6d95ec27e9"}	{"assetAddress": "0xa8258deE2a677874a48F5320670A869D74f0cbC1"}
{"blockNumber":20076779,"chainId":1,"vaultAddress":"0x43E54C2E7b3e294De3A155785F52AB49d87B9922"}	{"assetAddress": "0xD1b5651E55D4CeeD36251c61c50C889B36F6abB5"}
{"blockNumber":20112870,"chainId":1,"vaultAddress":"0xDcEe70654261AF21C44c093C300eD3Bb97b78192"}	{"assetAddress": "0x856c4Efb76C1D1AE02e20CEB03A2A6a08b0b8dC3"}
{"blockNumber":20118238,"chainId":1,"vaultAddress":"0x07D1718fF05a8C53C8F05aDAEd57C0d672945f9a"}	{"assetAddress": "0x65D72AA8DA931F047169112fcf34f52DbaAE7D18"}
{"blockNumber":20125962,"chainId":1,"vaultAddress":"0x06c03069de266F58d10A0724a4f65C3D4feFfF4D"}	{"assetAddress": "0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0"}
{"blockNumber":20127857,"chainId":1,"vaultAddress":"0x06c03069de266F58d10A0724a4f65C3D4feFfF4D"}	{"assetAddress": "0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0"}
{"blockNumber":20232136,"chainId":1,"vaultAddress":"0xeaB93Ec2A82eB235a1f426Accd9254f2aB32A99d"}	{"assetAddress": "0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0"}
{"blockNumber":20161295,"chainId":1,"vaultAddress":"0x248f43B622cE2F35A14dB3FC528284730b619cD5"}	{"assetAddress": "0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"}
{"blockNumber":20172980,"chainId":1,"vaultAddress":"0x8668a15b7b023Dc77B372a740FCb8939E15257Cf"}	{"assetAddress": "0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B"}
{"blockNumber":20764439,"chainId":1,"vaultAddress":"0xBDC1d4BbCa6429efAaA42c26e80f6a138F9c69d5"}	{"assetAddress": "0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"}
