id	output
{"blockNumber":19919019,"chainId":1,"decimals":18,"ibtAddress":"0x0022228a2cc5E7eF0274A7Baa600d44da5aB5776"}	{"ibtRate": "1019655061975882233"}
{"blockNumber":19928084,"chainId":1,"decimals":18,"ibtAddress":"0xa94ec39c91DF334DCAb55aDaA8EdD9C1dAF67cA7"}	{"ibtRate": "1000000000000000000"}
{"blockNumber":19961120,"chainId":1,"decimals":18,"ibtAddress":"0x2DABcea55a12d73191AeCe59F508b191Fb68AdaC"}	{"ibtRate": "1000000000000000000"}
{"blockNumber":19969673,"chainId":1,"decimals":8,"ibtAddress":"0xBDE752ef69880c00a795D88438040b8f737Eb254"}	{"ibtRate": "100000000"}
{"blockNumber":19919019,"chainId":1,"decimals":18,"ibtAddress":"0x0022228a2cc5e7ef0274a7baa600d44da5ab5776"}	{"ibtRate": "1019655061975882233"}
{"blockNumber":19928084,"chainId":1,"decimals":18,"ibtAddress":"0xa94ec39c91df334dcab55adaa8edd9c1daf67ca7"}	{"ibtRate": "1000000000000000000"}
{"blockNumber":19954841,"chainId":1,"decimals":18,"ibtAddress":"0xa94ec39c91df334dcab55adaa8edd9c1daf67ca7"}	{"ibtRate": "1000000000000000000"}
{"blockNumber":19961120,"chainId":1,"decimals":18,"ibtAddress":"0x2dabcea55a12d73191aece59f508b191fb68adac"}	{"ibtRate": "1000000000000000000"}
{"blockNumber":19962081,"chainId":1,"decimals":18,"ibtAddress":"0x2dabcea55a12d73191aece59f508b191fb68adac"}	{"ibtRate": "1000000000000000000"}
{"blockNumber":19969673,"chainId":1,"decimals":8,"ibtAddress":"0xbde752ef69880c00a795d88438040b8f737eb254"}	{"ibtRate": "100000000"}
{"blockNumber":19974973,"chainId":1,"decimals":8,"ibtAddress":"0xbde752ef69880c00a795d88438040b8f737eb254"}	{"ibtRate": "100000000"}
{"blockNumber":19975352,"chainId":1,"decimals":18,"ibtAddress":"0x2dabcea55a12d73191aece59f508b191fb68adac"}	{"ibtRate": "1000000000000000000"}
{"blockNumber":20031244,"chainId":1,"decimals":18,"ibtAddress":"0x2fc1E74BC8A6D15fE768c10C2EDe7D6d95ec27e9"}	{"ibtRate": "1051601562602040265"}
{"blockNumber":20076779,"chainId":1,"decimals":18,"ibtAddress":"0x43E54C2E7b3e294De3A155785F52AB49d87B9922"}	{"ibtRate": "1359625002245979568"}
{"blockNumber":20112870,"chainId":1,"decimals":18,"ibtAddress":"0xDcEe70654261AF21C44c093C300eD3Bb97b78192"}	{"ibtRate": "1093633218878445007"}
{"blockNumber":20118238,"chainId":1,"decimals":18,"ibtAddress":"0x07D1718fF05a8C53C8F05aDAEd57C0d672945f9a"}	{"ibtRate": "1000000000000000000"}
{"blockNumber":20125962,"chainId":1,"decimals":18,"ibtAddress":"0x06c03069de266F58d10A0724a4f65C3D4feFfF4D"}	{"ibtRate": "854503847957214480"}
{"blockNumber":20127857,"chainId":1,"decimals":18,"ibtAddress":"0x06c03069de266F58d10A0724a4f65C3D4feFfF4D"}	{"ibtRate": "1000000000099571402"}
{"blockNumber":20232136,"chainId":1,"decimals":18,"ibtAddress":"0xeaB93Ec2A82eB235a1f426Accd9254f2aB32A99d"}	{"ibtRate": "1000000000000000000"}
{"blockNumber":20161295,"chainId":1,"decimals":18,"ibtAddress":"0x248f43B622cE2F35A14dB3FC528284730b619cD5"}	{"ibtRate": "1066686375796482583"}
{"blockNumber":20172980,"chainId":1,"decimals":18,"ibtAddress":"0x8668a15b7b023Dc77B372a740FCb8939E15257Cf"}	{"ibtRate": "1026831393025827963"}
{"blockNumber":20031537,"chainId":1,"decimals":8,"ibtAddress":"0xbde752ef69880c00a795d88438040b8f737eb254"}	{"ibtRate": "100000000"}
