id	output
{"blockNumber":336833377,"chainId":42161,"poolAddress":"0x9d3de5108c3e55c4daf4cd42b1f965490f37daa2","poolType":"CURVE_SNG"}	{"ptAdminBalance": "0", "ibtAdminBalance": "0"}
{"blockNumber":336855254,"chainId":42161,"poolAddress":"0x9d3de5108c3e55c4daf4cd42b1f965490f37daa2","poolType":"CURVE_SNG"}	{"ptAdminBalance": "0", "ibtAdminBalance": "0"}
{"blockNumber":337013240,"chainId":42161,"poolAddress":"0x9d3de5108c3e55c4daf4cd42b1f965490f37daa2","poolType":"CURVE_SNG"}	{"ptAdminBalance": "0", "ibtAdminBalance": "0"}
{"blockNumber":351005704,"chainId":42161,"poolAddress":"0x9d3de5108c3e55c4daf4cd42b1f965490f37daa2","poolType":"CURVE_SNG"}	{"ptAdminBalance": "0", "ibtAdminBalance": "0"}
{"blockNumber":351008372,"chainId":42161,"poolAddress":"0x9d3de5108c3e55c4daf4cd42b1f965490f37daa2","poolType":"CURVE_SNG"}	{"ptAdminBalance": "0", "ibtAdminBalance": "0"}
{"blockNumber":352641699,"chainId":42161,"poolAddress":"0x351e756b4a0910b0d739e906dfaad6fc7ec28908","poolType":"CURVE_SNG"}	{"ptAdminBalance": "2888770161622683145", "ibtAdminBalance": "2803220159856590304"}
{"blockNumber":352777804,"chainId":42161,"poolAddress":"0x351e756b4a0910b0d739e906dfaad6fc7ec28908","poolType":"CURVE_SNG"}	{"ptAdminBalance": "2888770161622683145", "ibtAdminBalance": "2803220159856590304"}
{"blockNumber":353393291,"chainId":42161,"poolAddress":"0x894e5f771a565440cfd9bf116e4683cfd5a62dcd","poolType":"CURVE_SNG"}	{"ptAdminBalance": "0", "ibtAdminBalance": "41624204692151163"}
{"blockNumber":354767169,"chainId":42161,"poolAddress":"0x894e5f771a565440cfd9bf116e4683cfd5a62dcd","poolType":"CURVE_SNG"}	{"ptAdminBalance": "0", "ibtAdminBalance": "41624204692151163"}
{"blockNumber":355457827,"chainId":42161,"poolAddress":"0x351e756b4a0910b0d739e906dfaad6fc7ec28908","poolType":"CURVE_SNG"}	{"ptAdminBalance": "2888770161622683145", "ibtAdminBalance": "2803220159856590304"}
