id	output
{"blockNumber":219291165,"chainId":42161,"poolAddress":"0x5711f2aab169d6f83d997008542863606530c5a5"}	{"adminFee": "5000000000"}
{"blockNumber":224108272,"chainId":42161,"poolAddress":"0x16a6746b1ffdb14e8f88e3082f23d956e68ff9da"}	{"adminFee": "5000000000"}
{"blockNumber":227974444,"chainId":42161,"poolAddress":"0xe8ce8988c227cec35c03bef8a899a5673f4eb66e"}	{"adminFee": "5000000000"}
{"blockNumber":225251208,"chainId":42161,"poolAddress":"0xdc2b69aa3c13cab8010b8cc3c4e838b2b005089f"}	{"adminFee": "5000000000"}
{"blockNumber":225517662,"chainId":42161,"poolAddress":"0x0bdad9b3a7aa822c9f846b6490fe526dbdfdda3e"}	{"adminFee": "5000000000"}
{"blockNumber":226298305,"chainId":42161,"poolAddress":"0x4455e524ba0d45a7671b5b705818696d1c0e6cb7"}	{"adminFee": "5000000000"}
{"blockNumber":225611441,"chainId":42161,"poolAddress":"0xc515063419fd6ba60c8206f591f1c93bb1518765"}	{"adminFee": "5000000000"}
{"blockNumber":228315299,"chainId":42161,"poolAddress":"0xf5650b7dd5216fcc6cfa5c009ffd147ed8254f37"}	{"adminFee": "5000000000"}
{"blockNumber":228663084,"chainId":42161,"poolAddress":"0x39e6af30ea89034d1bdd2d1cfba88caf8464fa65"}	{"adminFee": "5000000000"}
{"blockNumber":230109546,"chainId":42161,"poolAddress":"0x6293e840c02a2939cb000d002de8b70b5b7e62b8"}	{"adminFee": "5000000000"}
{"blockNumber":232388705,"chainId":42161,"poolAddress":"0xf206c1e996536d8e29985e6663e447a27e19e8d3"}	{"adminFee": "5000000000"}
{"blockNumber":233491305,"chainId":42161,"poolAddress":"0x1dd42dd08af91ef8bcbb55c1f11c9239a101237e"}	{"adminFee": "5000000000"}
{"blockNumber":242833243,"chainId":42161,"poolAddress":"0xe62ec36665387fd9abc303c0aea161c26649b6a3"}	{"adminFee": "5000000000"}
{"blockNumber":244423234,"chainId":42161,"poolAddress":"0xbfdfa1d1b90eb7715100acd4f69d4d2828b8cbc5"}	{"adminFee": "5000000000"}
{"blockNumber":244434334,"chainId":42161,"poolAddress":"0x83ffe303a62d25a7d1a4c2302d3ea24b59542bba"}	{"adminFee": "5000000000"}
{"blockNumber":244434469,"chainId":42161,"poolAddress":"0xf327a464da7691ff5fb25cd233813c7a958a6449"}	{"adminFee": "5000000000"}
{"blockNumber":244434800,"chainId":42161,"poolAddress":"0x0329b7bac6e908afb944e521bd63e5e205ef3166"}	{"adminFee": "5000000000"}
{"blockNumber":244435431,"chainId":42161,"poolAddress":"0x96839ee35a8e9f554f06042bcaf1b8962d63f8ef"}	{"adminFee": "5000000000"}
{"blockNumber":244436073,"chainId":42161,"poolAddress":"0xdc3b1c7cd554036d10fe2ced605b349a8c831152"}	{"adminFee": "5000000000"}
{"blockNumber":247304468,"chainId":42161,"poolAddress":"0xd20ab8a3f61001e8b9ebe2a39b85d5b2c232b040"}	{"adminFee": "5000000000"}
{"blockNumber":293268978,"chainId":42161,"poolAddress":"0x71f5b68188097a36d5604c3783b600bc7102f4ac"}	{"adminFee": "8000000000"}
{"blockNumber":296113439,"chainId":42161,"poolAddress":"0x3720ec38ce61bd5ce0af8063fdcaf0b434ba6509"}	{"adminFee": "5000000000"}
{"blockNumber":299036142,"chainId":42161,"poolAddress":"0x8f48e040e3130efd4f44e0026d62d79eb97a40f2"}	{"adminFee": "5000000000"}
{"blockNumber":4852266,"chainId":146,"poolAddress":"0xb2b0b641af3efbb495837323f74d962c534c1f51"}	{"adminFee": "8000000000"}
{"blockNumber":4855323,"chainId":146,"poolAddress":"0xc7df395a6f24198037b1eaffe87415112ea3fd3f"}	{"adminFee": "5000000000"}
{"blockNumber":4958478,"chainId":146,"poolAddress":"0x167b0951c5d3fb8ff5ab675401e369dd65817801"}	{"adminFee": "8000000000"}
{"blockNumber":5159388,"chainId":146,"poolAddress":"0x480d702d7a887e22d35917a320057388a7a5d096"}	{"adminFee": "8000000000"}
{"blockNumber":5791691,"chainId":146,"poolAddress":"0x2386ebde944e723ffd9066be23709444342d2685"}	{"adminFee": "5000000000"}
