id	output
{"blockNumber":19919019,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":19928084,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":19961120,"chainId":1,"poolAddress":"0x4d4140c05dfa65e3e38a7bf1bda6e5b68fbe2b80","poolType":"CURVE"}	"0x00edFAD7dd3Dd2129F0f0227D219D83a761ed044"
{"blockNumber":19969673,"chainId":1,"poolAddress":"0xb09fc8bbdcc8dc9d8b3775132c52fcebf1c7dbb3","poolType":"CURVE"}	"0x2b697cEB121275b6b7C37D1749ddc101eA960B8E"
{"blockNumber":19954841,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":19962081,"chainId":1,"poolAddress":"0x4d4140c05dfa65e3e38a7bf1bda6e5b68fbe2b80","poolType":"CURVE"}	"0x00edFAD7dd3Dd2129F0f0227D219D83a761ed044"
{"blockNumber":19974973,"chainId":1,"poolAddress":"0xb09fc8bbdcc8dc9d8b3775132c52fcebf1c7dbb3","poolType":"CURVE"}	"0x2b697cEB121275b6b7C37D1749ddc101eA960B8E"
{"blockNumber":19975352,"chainId":1,"poolAddress":"0x4d4140c05dfa65e3e38a7bf1bda6e5b68fbe2b80","poolType":"CURVE"}	"0x00edFAD7dd3Dd2129F0f0227D219D83a761ed044"
{"blockNumber":20330490,"chainId":1,"poolAddress":"0xb09fc8bbdcc8dc9d8b3775132c52fcebf1c7dbb3","poolType":"CURVE"}	"0x2b697cEB121275b6b7C37D1749ddc101eA960B8E"
{"blockNumber":20101929,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20125032,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20135468,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20237021,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20331356,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20242294,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20253744,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20325711,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20311528,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20360132,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20101936,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20242305,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20341387,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20234964,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20253849,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20083891,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20088139,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20093618,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20343326,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20193553,"chainId":1,"poolAddress":"0xb09fc8bbdcc8dc9d8b3775132c52fcebf1c7dbb3","poolType":"CURVE"}	"0x2b697cEB121275b6b7C37D1749ddc101eA960B8E"
{"blockNumber":20346865,"chainId":1,"poolAddress":"0xb09fc8bbdcc8dc9d8b3775132c52fcebf1c7dbb3","poolType":"CURVE"}	"0x2b697cEB121275b6b7C37D1749ddc101eA960B8E"
{"blockNumber":20340189,"chainId":1,"poolAddress":"0xb09fc8bbdcc8dc9d8b3775132c52fcebf1c7dbb3","poolType":"CURVE"}	"0x2b697cEB121275b6b7C37D1749ddc101eA960B8E"
{"blockNumber":20405799,"chainId":1,"poolAddress":"0xb09fc8bbdcc8dc9d8b3775132c52fcebf1c7dbb3","poolType":"CURVE"}	"0x2b697cEB121275b6b7C37D1749ddc101eA960B8E"
{"blockNumber":20367086,"chainId":1,"poolAddress":"0xb09fc8bbdcc8dc9d8b3775132c52fcebf1c7dbb3","poolType":"CURVE"}	"0x2b697cEB121275b6b7C37D1749ddc101eA960B8E"
{"blockNumber":20383213,"chainId":1,"poolAddress":"0xb09fc8bbdcc8dc9d8b3775132c52fcebf1c7dbb3","poolType":"CURVE"}	"0x2b697cEB121275b6b7C37D1749ddc101eA960B8E"
{"blockNumber":20407430,"chainId":1,"poolAddress":"0xb09fc8bbdcc8dc9d8b3775132c52fcebf1c7dbb3","poolType":"CURVE"}	"0x2b697cEB121275b6b7C37D1749ddc101eA960B8E"
{"blockNumber":20231349,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20083651,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20109485,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20144882,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20327148,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20222168,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20337620,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20311444,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20401197,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20403769,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20232593,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20263052,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20375256,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20327295,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20383825,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20346338,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20331411,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20411769,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	"0xFE8ab51fd37ea5cEBE203510160303DaD4Ad11AD"
{"blockNumber":20125451,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20314309,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20135522,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20312914,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20280905,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20094652,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20110835,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20262594,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20099838,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
{"blockNumber":20376078,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	"0x74a1433e1bB818896Df85a56b0aBa5BAc93971A7"
