id	output
{"blockNumber":19919019,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	{"lastPrice": "858933874090633300"}
{"blockNumber":19928084,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	{"lastPrice": "875128309071360700"}
{"blockNumber":19961120,"chainId":1,"poolAddress":"0x4d4140c05dfa65e3e38a7bf1bda6e5b68fbe2b80","poolType":"CURVE"}	{"lastPrice": "949082064744584200"}
{"blockNumber":19969673,"chainId":1,"poolAddress":"0xb09fc8bbdcc8dc9d8b3775132c52fcebf1c7dbb3","poolType":"CURVE"}	{"lastPrice": "948941487138291300"}
{"blockNumber":19954841,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	{"lastPrice": "875128309079646739"}
{"blockNumber":19962081,"chainId":1,"poolAddress":"0x4d4140c05dfa65e3e38a7bf1bda6e5b68fbe2b80","poolType":"CURVE"}	{"lastPrice": "949082064751710369"}
{"blockNumber":19974973,"chainId":1,"poolAddress":"0xb09fc8bbdcc8dc9d8b3775132c52fcebf1c7dbb3","poolType":"CURVE"}	{"lastPrice": "948941487138291300"}
{"blockNumber":19975352,"chainId":1,"poolAddress":"0x4d4140c05dfa65e3e38a7bf1bda6e5b68fbe2b80","poolType":"CURVE"}	{"lastPrice": "949082064753277914"}
{"blockNumber":20101929,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	{"lastPrice": "921641657549076977"}
{"blockNumber":20101936,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	{"lastPrice": "861305251911871058"}
{"blockNumber":20125032,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	{"lastPrice": "927267608013865545"}
{"blockNumber":20135468,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	{"lastPrice": "926381529887492788"}
{"blockNumber":20237021,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	{"lastPrice": "947407866445222971"}
{"blockNumber":20331356,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	{"lastPrice": "945616426232880593"}
{"blockNumber":20242294,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	{"lastPrice": "941314089371216717"}
{"blockNumber":20242305,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	{"lastPrice": "871427967217390541"}
{"blockNumber":20341387,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	{"lastPrice": "870966508502695813"}
{"blockNumber":20253744,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	{"lastPrice": "938687692327210575"}
{"blockNumber":20325711,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c","poolType":"CURVE"}	{"lastPrice": "947087015841498686"}
{"blockNumber":20234964,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52","poolType":"CURVE"}	{"lastPrice": "871769833618896532"}
