id	output
{"blockNumber":19919019,"chainId":1,"poolAddress":"0xc6e949f57d365fb73015d21a2d1a9da93e938d52"}	"CURVE"
{"blockNumber":19928084,"chainId":1,"poolAddress":"0xe7ad3016d46e538c9ca87e5071c561a73ed1c98c"}	"CURVE"
{"blockNumber":19961120,"chainId":1,"poolAddress":"0x4d4140c05dfa65e3e38a7bf1bda6e5b68fbe2b80"}	"CURVE"
{"blockNumber":19969673,"chainId":1,"poolAddress":"0xb09fc8bbdcc8dc9d8b3775132c52fcebf1c7dbb3"}	"CURVE"
{"blockNumber":20031244,"chainId":1,"poolAddress":"0xc9f39993cf05f7442dd56ac2b87484c051ffdb5a"}	"CURVE"
{"blockNumber":20076779,"chainId":1,"poolAddress":"0xc63dff67fe1b63004ab6c773022ba06847c11335"}	"CURVE"
{"blockNumber":20112870,"chainId":1,"poolAddress":"0xf3749a2bef435535200c378298b78f34dcac0fc9"}	"CURVE"
{"blockNumber":20118238,"chainId":1,"poolAddress":"0xbce4e65b4a68ac2095c7747992250d2075d82edc"}	"CURVE"
{"blockNumber":20125962,"chainId":1,"poolAddress":"0x0b036d098cb2a2cce97cddc6187bcadaeb2f8075"}	"CURVE"
{"blockNumber":20127857,"chainId":1,"poolAddress":"0x1c379572160a80975fa1dad8e491ff485611c8f6"}	"CURVE"
{"blockNumber":20161295,"chainId":1,"poolAddress":"0xbfc3d05453dddb38289ea44386a9a4f8226ef2ca"}	"CURVE"
{"blockNumber":20172980,"chainId":1,"poolAddress":"0x870754e9cb1555c427dd7b433a55aeaccd7e4e1f"}	"CURVE"
{"blockNumber":20232136,"chainId":1,"poolAddress":"0xdce8dfa05f9af2c16793f6b8e77597b7b7bf0c50"}	"CURVE"
{"blockNumber":20421312,"chainId":1,"poolAddress":"0x4d8842511cadcc65125cb9353b9520cc7f424688"}	"CURVE"
{"blockNumber":20421312,"chainId":1,"poolAddress":"0xa3f78ffb9de17d7a530ee08b4aa13362edd7c76b"}	"CURVE"
{"blockNumber":20421312,"chainId":1,"poolAddress":"0x7a5b529bf0106990494ab3d7696f14c69c000dd7"}	"CURVE"
{"blockNumber":20422887,"chainId":1,"poolAddress":"0xf99514d6556dee14032ceb3f1cd59b32e61541cc"}	"CURVE"
{"blockNumber":20482543,"chainId":1,"poolAddress":"0x019f398b084d7702cfb7430aa9d545bf55de037f"}	"CURVE"
{"blockNumber":20506003,"chainId":1,"poolAddress":"0x20f3424fec5194522a2621120d1ea7279161e216"}	"CURVE"
{"blockNumber":20521549,"chainId":1,"poolAddress":"0x952ac974ff2f3ee5c05534961b661fe70fd38b8a"}	"CURVE"
{"blockNumber":20522173,"chainId":1,"poolAddress":"0x1c4d2495f1b9f325cb72c1af0db29985239c68ad"}	"CURVE"
{"blockNumber":20582576,"chainId":1,"poolAddress":"0x0d89f4583a6b5eceb76551d573ad49cd435f6064"}	"CURVE"
{"blockNumber":20585725,"chainId":1,"poolAddress":"0xfd268d70c4446862a0fc024fb731d71f3fc5b6c4"}	"CURVE"
{"blockNumber":20683920,"chainId":1,"poolAddress":"0x9ed7a47cdee1a197b338706145735b62778979cf"}	"CURVE"
{"blockNumber":20725682,"chainId":1,"poolAddress":"0x7a2517768a221b43a639f7f03a88074d9884b398"}	"CURVE"
{"blockNumber":20764430,"chainId":1,"poolAddress":"0x8561d7a37a998196cafab7432e3243b413dc187e"}	"CURVE"
{"blockNumber":20764439,"chainId":1,"poolAddress":"0x6962e20fb648611801adee8c24af9f7fce2034a8"}	"CURVE"
{"blockNumber":20827940,"chainId":1,"poolAddress":"0x9429e06ffd09cf97007791b8bf3845171f1425e8"}	"CURVE"
{"blockNumber":20828021,"chainId":1,"poolAddress":"0x588eab5777e51ece898bb71976715072e6f7843f"}	"CURVE"
{"blockNumber":20861112,"chainId":1,"poolAddress":"0x08da2b1ea8f2098d44c8690ddadca3d816c7c0d5"}	"CURVE"
{"blockNumber":21070385,"chainId":1,"poolAddress":"0x70b2e1855b00c4bb9dd81a029eb319ed864079a7"}	"CURVE"
{"blockNumber":21071577,"chainId":1,"poolAddress":"0xd527aed4030c5034825a69a7aebf7ec241aac024"}	"CURVE"
{"blockNumber":21116010,"chainId":1,"poolAddress":"0x92261c50c2ae3158368baeb3571fe66e24c8bf2c"}	"CURVE"
{"blockNumber":21121454,"chainId":1,"poolAddress":"0xc436c88130fc594ea993a32939e73e4fe9b0c610"}	"CURVE"
{"blockNumber":21143811,"chainId":1,"poolAddress":"0xa2e24d08c2eccdd402db37c70d7b6e09c4b794b2"}	"CURVE"
{"blockNumber":21182684,"chainId":1,"poolAddress":"0x44015b17ba889ac3c08757ddd89552b5d03b73c6"}	"CURVE"
{"blockNumber":21320940,"chainId":1,"poolAddress":"0x614e842ef4b9a1bbed7fba7a333a3959c0ee1161"}	"CURVE"
{"blockNumber":21470479,"chainId":1,"poolAddress":"0xbc2f304e661ef8cc79e52942f9546bea06cc360c"}	"CURVE"
{"blockNumber":21492348,"chainId":1,"poolAddress":"0x9dddeea4d2fa308ff0850008d73f375ad7a8a9b2"}	"CURVE"
{"blockNumber":21493603,"chainId":1,"poolAddress":"0x4bc7bfb8acac5f73934f3dc421f9527cdbcac583"}	"CURVE"
{"blockNumber":21504983,"chainId":1,"poolAddress":"0x6f1c4411af770eafa007393563f70f01c204f8d5"}	"CURVE"
{"blockNumber":21514035,"chainId":1,"poolAddress":"0x0efdb0de6e17e8d0f3161dc9b25093cf96315bd6"}	"CURVE"
{"blockNumber":21515271,"chainId":1,"poolAddress":"0x66a376178faeb5d209acaa10d5d00aa3de4f5bd5"}	"CURVE"
{"blockNumber":21543317,"chainId":1,"poolAddress":"0xe590c55ae6d9c139f95adbc36fd5c137f8c61fe8"}	"CURVE"
{"blockNumber":21568240,"chainId":1,"poolAddress":"0x69ba1b7dba7eb3b7a73f4e35fd04a27ad06c55fe"}	"CURVE"
{"blockNumber":21578071,"chainId":1,"poolAddress":"0x52b230f3b0b1a4140826c4913663e8464e942861"}	"CURVE"
{"blockNumber":21587125,"chainId":1,"poolAddress":"0x64bd68e2ca9a3e27230f8e22dba20f3cd58aeb50"}	"CURVE"
{"blockNumber":21589445,"chainId":1,"poolAddress":"0xfef729847048e872a7baa82ab7aecfe793df62a4"}	"CURVE"
