id	output
{"blockNumber":19919019,"chainId":1,"ptAddress":"0x3d1fd4382bb3b1fe9dac005e77deb7a9bfb3aa14"}	{"yt": "0x754bE840e0a3E8FE06416591A501cE3F80EE3943", "ibt": "0x0022228a2cc5E7eF0274A7Baa600d44da5aB5776", "name": "Principal Token: stUSD-1748217638", "ptRate": "1000000000000000000000000000", "symbol": "PT-stUSD-1748217638", "decimals": 18, "maturity": "1748217638", "underlying": "0x0000206329b97DB379d5E1Bf586BbDB969C63274", "totalAssets": "27178969413465267913"}
{"blockNumber":19928084,"chainId":1,"ptAddress":"0xc7d669e7cc521a6676b20e209b3a49a1e64856f1"}	{"yt": "0x47b5D8d9d105EE794DFc7E0ac755DD151336D84D", "ibt": "0xa94ec39c91DF334DCAb55aDaA8EdD9C1dAF67cA7", "name": "Principal Token: sw-stkGHO-1732492824", "ptRate": "1000000000000000000000000000", "symbol": "PT-sw-stkGHO-1732492824", "decimals": 18, "maturity": "1732492824", "underlying": "0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f", "totalAssets": "26664841951408658623"}
{"blockNumber":19961120,"chainId":1,"ptAddress":"0x6def54ae7e38992a7d1ab60d279483ba7f7b0aeb"}	{"yt": "0x763056e4000A9ABdD11caa0d47d872944d34D129", "ibt": "0x2DABcea55a12d73191AeCe59F508b191Fb68AdaC", "name": "Principal Token: KweETH-1727308807", "ptRate": "1000000000000000000000000000", "symbol": "PT-KweETH-1727308807", "decimals": 18, "maturity": "1727308807", "underlying": "0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee", "totalAssets": "20522481184106409"}
{"blockNumber":19969673,"chainId":1,"ptAddress":"0xe617fc640413171100c32cc8dbf69fc7928d895e"}	{"yt": "0x4C9d41DFDa778AB7CFf5136F4083497Cd3e4cBD9", "ibt": "0xBDE752ef69880c00a795D88438040b8f737Eb254", "name": "Principal Token: sw-uniBTC-1732752015", "ptRate": "1000000000000000000000000000", "symbol": "PT-sw-uniBTC-1732752015", "decimals": 8, "maturity": "1732752015", "underlying": "0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599", "totalAssets": "5218237"}
{"blockNumber":19954841,"chainId":1,"ptAddress":"0xc7d669e7cc521a6676b20e209b3a49a1e64856f1"}	{"yt": "0x47b5D8d9d105EE794DFc7E0ac755DD151336D84D", "ibt": "0xa94ec39c91DF334DCAb55aDaA8EdD9C1dAF67cA7", "name": "Principal Token: sw-stkGHO-1732492824", "ptRate": "1000000000000000000000000000", "symbol": "PT-sw-stkGHO-1732492824", "decimals": 18, "maturity": "1732492824", "underlying": "0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f", "totalAssets": "39463966088084814762"}
{"blockNumber":19962081,"chainId":1,"ptAddress":"0x6def54ae7e38992a7d1ab60d279483ba7f7b0aeb"}	{"yt": "0x763056e4000A9ABdD11caa0d47d872944d34D129", "ibt": "0x2DABcea55a12d73191AeCe59F508b191Fb68AdaC", "name": "Principal Token: KweETH-1727308807", "ptRate": "1000000000000000000000000000", "symbol": "PT-KweETH-1727308807", "decimals": 18, "maturity": "1727308807", "underlying": "0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee", "totalAssets": "280655687714564129"}
{"blockNumber":19974973,"chainId":1,"ptAddress":"0xe617fc640413171100c32cc8dbf69fc7928d895e"}	{"yt": "0x4C9d41DFDa778AB7CFf5136F4083497Cd3e4cBD9", "ibt": "0xBDE752ef69880c00a795D88438040b8f737Eb254", "name": "Principal Token: sw-uniBTC-1732752015", "ptRate": "1000000000000000000000000000", "symbol": "PT-sw-uniBTC-1732752015", "decimals": 8, "maturity": "1732752015", "underlying": "0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599", "totalAssets": "7728522"}
{"blockNumber":19975352,"chainId":1,"ptAddress":"0x6def54ae7e38992a7d1ab60d279483ba7f7b0aeb"}	{"yt": "0x763056e4000A9ABdD11caa0d47d872944d34D129", "ibt": "0x2DABcea55a12d73191AeCe59F508b191Fb68AdaC", "name": "Principal Token: KweETH-1727308807", "ptRate": "1000000000000000000000000000", "symbol": "PT-KweETH-1727308807", "decimals": 18, "maturity": "1727308807", "underlying": "0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee", "totalAssets": "1265281986577521972"}
{"blockNumber":20031244,"chainId":1,"ptAddress":"0x982e5a072cb6634f45715665a02c723392977e9f"}	{"yt": "0x0882Ff8ff5C3E547B4afDB86C309C2bF0C7fCAD8", "ibt": "0x2fc1E74BC8A6D15fE768c10C2EDe7D6d95ec27e9", "name": "Principal Token: thWAR-1725581923", "ptRate": "1000000000000000000000000000", "symbol": "PT-thWAR-1725581923", "decimals": 18, "maturity": "1725581923", "underlying": "0xa8258deE2a677874a48F5320670A869D74f0cbC1", "totalAssets": "1347607015850361160117"}
{"blockNumber":20076779,"chainId":1,"ptAddress":"0xf85640cf6ec7658180761927516d11264d635775"}	{"yt": "0x0698aa9762fc38B908315c5C3EFd0Aee469356E6", "ibt": "0x43E54C2E7b3e294De3A155785F52AB49d87B9922", "name": "Principal Token: asdCRV-1733973768", "ptRate": "1000000000000000000000000000", "symbol": "PT-asdCRV-1733973768", "decimals": 18, "maturity": "1733973768", "underlying": "0xD1b5651E55D4CeeD36251c61c50C889B36F6abB5", "totalAssets": "54195727976437684988641"}
